Designator,Mid X,Mid Y,Rotation,Layer
D1,276.098,-100.3808,0.0,top
D10,34.0868,-175.0314,90.0,top
D11,78.4098,-238.7092,180.0,top
D112,243.95921,-157.03059,85.0,top
D113,233.26581,-164.44739,85.0,top
D114,242.61301,-172.67699,85.0,top
D115,231.94501,-179.56039,85.0,top
D116,241.24141,-188.34879,85.0,top
D117,230.62421,-194.69879,85.0,top
D118,239.86981,-203.96979,85.0,top
D12,186.4106,-238.7092,180.0,top
D13,42.418,-184.7088,90.0,top
D14,88.0872,-247.0404,180.0,top
D15,196.088,-247.0658,180.0,top
D154,228.79541,-212.83439,0.0,top
D155,219.52441,-202.85219,0.0,top
D156,210.73601,-212.85979,0.0,top
D157,202.53181,-202.82679,0.0,top
D158,192.67661,-212.83439,0.0,top
D159,185.53921,-202.85219,0.0,top
D16,34.0868,-193.04,90.0,top
D160,174.61721,-212.85979,0.0,top
D17,96.4184,-238.7092,180.0,top
D18,204.4192,-238.7092,180.0,top
D19,42.418,-202.7174,90.0,top
D2,271.78,-107.8992,120.0,top
D20,106.0958,-247.0404,180.0,top
D21,214.0966,-247.0404,180.0,top
D22,34.0868,-211.0486,90.0,top
D23,114.427,-238.7092,180.0,top
D238,164.99061,-203.00459,265.0,top
D239,175.83641,-193.75899,265.0,top
D24,222.4024,-238.7092,180.0,top
D240,166.36221,-187.38359,265.0,top
D241,177.15721,-178.62059,265.0,top
D242,167.70841,-171.71179,265.0,top
D243,178.47801,-163.48219,265.0,top
D244,169.08001,-156.06539,265.0,top
D245,171.84861,-124.77259,265.0,top
D246,182.46581,-118.09239,265.0,top
D247,173.19481,-109.15159,265.0,top
D248,183.78661,-102.97939,265.0,top
D249,174.56641,-93.47979,265.0,top
D25,42.418,-220.726,90.0,top
D250,185.13281,-87.84099,265.0,top
D251,175.93801,-77.83339,265.0,top
D252,258.4334,-42.0614,0.0,top
D253,150.4304,-42.038,0.0,top
D254,42.4318,-42.0634,0.0,top
D255,250.0768,-33.7302,0.0,top
D256,142.076,-33.7322,0.0,top
D257,34.0878,-33.7428,270.0,top
D258,240.4364,-42.0116,0.0,top
D259,132.424,-42.0634,0.0,top
D26,124.079,-247.0658,180.0,top
D260,34.0878,-51.7028,90.0,top
D261,232.0936,-33.7302,0.0,top
D262,124.0928,-33.7302,0.0,top
D263,42.419,-60.0572,90.0,top
D264,222.4278,-42.0624,0.0,top
D265,114.4154,-42.0634,0.0,top
D266,34.0858,-69.7346,90.0,top
D267,214.0966,-33.7312,0.0,top
D268,106.1096,-33.7068,0.0,top
D269,42.419,-78.0658,90.0,top
D27,232.0798,-247.0404,180.0,top
D270,204.4192,-42.0624,0.0,top
D271,96.4068,-42.0634,0.0,top
D272,34.0868,-87.7062,90.0,top
D273,196.088,-33.7312,0.0,top
D274,88.1126,-33.7312,0.0,top
D275,42.419,-96.0744,90.0,top
D276,186.4244,-42.0614,0.0,top
D277,78.4236,-42.0634,0.0,top
D278,34.0868,-105.7402,90.0,top
D279,178.0932,-33.7302,0.0,top
D28,34.0868,-229.0572,90.0,top
D280,70.0902,-33.7302,0.0,top
D281,42.419,-114.0576,90.0,top
D282,168.4274,-42.0624,0.0,top
D283,60.415,-42.0634,0.0,top
D284,34.0878,-123.7096,90.0,top
D285,160.0846,-33.7068,0.0,top
D286,52.0954,-33.7312,0.0,top
D287,185.00581,-140.34279,180.0,top
D288,193.99741,-135.33899,180.0,top
D289,199.00121,-145.32119,180.0,top
D29,132.4356,-238.7092,180.0,top
D290,207.96741,-140.34279,180.0,top
D291,216.90821,-135.33899,180.0,top
D292,221.93741,-145.32119,180.0,top
D293,230.90361,-140.34279,180.0,top
D294,65.0748,-203.0476,265.0,top
D295,75.9206,-193.802,265.0,top
D296,66.4464,-187.4266,265.0,top
D297,77.2414,-178.6636,265.0,top
D298,67.7926,-171.7548,265.0,top
D299,78.5622,-163.5252,265.0,top
D3,280.4414,-107.8992,150.0,top
D30,240.411,-238.7346,180.0,top
D300,69.1642,-156.1084,265.0,top
D301,128.8796,-212.8774,0.0,top
D302,119.6086,-202.8952,0.0,top
D303,110.8202,-212.9028,0.0,top
D304,102.616,-202.8698,0.0,top
D305,92.7608,-212.8774,0.0,top
D306,85.6234,-202.8952,0.0,top
D307,74.7014,-212.9028,0.0,top
D308,144.0434,-157.0736,85.0,top
D309,133.35,-164.4904,85.0,top
D31,42.418,-238.7346,90.0,top
D310,142.6972,-172.72,85.0,top
D311,132.0292,-179.6034,85.0,top
D312,141.3256,-188.3918,85.0,top
D313,130.7084,-194.7418,85.0,top
D314,139.954,-204.0128,85.0,top
D315,85.09,-140.3858,180.0,top
D316,94.0816,-135.382,180.0,top
D317,99.0854,-145.3642,180.0,top
D318,108.0516,-140.3858,180.0,top
D319,116.9924,-135.382,180.0,top
D32,142.0622,-247.0404,180.0,top
D320,122.0216,-145.3642,180.0,top
D321,130.9878,-140.3858,180.0,top
D322,71.9328,-124.8156,265.0,top
D323,82.55,-118.1354,265.0,top
D324,73.279,-109.1946,265.0,top
D325,83.8708,-103.0224,265.0,top
D326,74.6506,-93.5228,265.0,top
D327,85.217,-87.884,265.0,top
D328,76.0222,-77.8764,265.0,top
D329,87.4014,-67.8688,180.0,top
D33,250.1138,-247.0404,180.0,top
D330,96.5708,-77.9018,180.0,top
D331,105.4354,-67.8942,180.0,top
D332,113.5634,-77.9018,180.0,top
D333,123.4948,-67.8688,180.0,top
D334,130.5814,-77.8764,180.0,top
D335,141.5542,-67.8942,180.0,top
D336,150.9014,-78.8416,85.0,top
D337,139.954,-88.773,85.0,top
D338,149.5298,-94.488,85.0,top
D339,138.6586,-103.9622,85.0,top
D34,34.0614,-247.015,0.0,top
D340,148.1582,-110.1344,85.0,top
D341,137.3378,-119.1006,85.0,top
D342,146.812,-125.7808,85.0,top
D35,150.4188,-238.7092,180.0,top
D36,258.4196,-238.7092,180.0,top
D37,52.0954,-247.0404,180.0,top
D38,160.0962,-247.0404,180.0,top
D4,34.0858,-157.0366,90.0,top
D40,58.8838,-82.9818,180.0,top
D5,60.4266,-238.7092,180.0,top
D6,168.402,-238.7346,180.0,top
D7,42.418,-166.7002,90.0,top
D70,187.31721,-67.82579,180.0,top
D71,196.48661,-77.85879,180.0,top
D72,205.35121,-67.85119,180.0,top
D73,213.47921,-77.85879,180.0,top
D74,223.41061,-67.82579,180.0,top
D75,230.49721,-77.83339,180.0,top
D76,241.47001,-67.85119,180.0,top
D77,250.81721,-78.79859,85.0,top
D78,239.86981,-88.72999,85.0,top
D79,249.44561,-94.44499,85.0,top
D8,70.0786,-247.0658,180.0,top
D80,238.57441,-103.91919,85.0,top
D81,248.07401,-110.09139,85.0,top
D82,237.25361,-119.05759,85.0,top
D83,246.72781,-125.73779,85.0,top
D9,178.0932,-247.0414,180.0,top
R2,56.6296,-88.8304,0.0,top
